fdc_id,description_en,description_de
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","Pillsbury Golden Layer Buttermilchkekse, künstliches Aroma, gekühlter Teig"
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","Pillsbury, Zimtschnecken mit Zuckerguss, gekühlter Teig"
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","Kraft Foods, Shake N Bake Originalrezept, Panierung für Schweinefleisch, trocken"
167515,"George Weston Bakeries, Thomas English Muffins","George Weston Bakeries, Thomas English Muffins"
167516,"Waffles, buttermilk, frozen, ready-to-heat","Waffeln, Buttermilch, gefroren, zum Aufwärmen"
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted","Waffel, Buttermilch, gefroren, zum Aufwärmen, geröstet"
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved","Waffel, Buttermilch, gefroren, zum Aufwärmen, mikrowellengeeignet"
167519,"Waffle, plain, frozen, ready-to-heat, microwave","Waffel, naturbelassen, gefroren, zum Aufwärmen, mikrowellengeeignet"
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust","Tortenboden, Kekstyp, Graham Cracker, Fertigboden"
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust","Kuchenboden, Keksboden, Schokolade, Fertigboden"
167522,"Pie, Dutch Apple, Commercially Prepared","Kuchen, holländischer Apfel, kommerziell zubereitet"
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour","Tortenkruste, tiefe Form, gefroren, ungebacken, hergestellt aus angereichertem Mehl"
167524,"Waffles, chocolate chip, frozen, ready-to-heat","Waffeln, Schokoladenstückchen, gefroren, zum Aufwärmen"
167525,"Tostada shells, corn","Tostada-Muscheln, Mais"
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","Brot, salvadorianischer Süßkäse (Quesadilla salvadorena)"
167527,"Bread, pound cake type, pan de torta salvadoran","Brot, Typ Pfundkuchen, Pan de Torta Salvadoran"
167528,"Pastry, Pastelitos de Guava (guava pastries)","Gebäck, Pastelitos de Guava (Guavengebäck)"
167529,"Crackers, snack, Goya Crackers","Cracker, Snack, Goya Cracker"
167530,"Crackers, cream, Gamesa Sabrosas","Cracker, Sahne, Gamesa Sabrosas"
167531,"Crackers, cream, La Moderna Rikis Cream Crackers","Cracker, Sahne, La Moderna Rikis Cream Cracker"
167532,"Bread, white wheat","Brot, Weißweizen"
167533,"Bagels, wheat","Bagels, Weizen"
167534,"Cream puff, eclair, custard or cream filled, iced","Windbeutel, Eclair, mit Vanillesoße oder Sahne gefüllt, eisgekühlt"
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable","Tortillas, fertig zum Backen oder Braten, Mehl, haltbar"
167536,"Snacks, beef jerky, chopped and formed","Snacks, Trockenfleisch vom Rind, gehackt und geformt"
167537,"Snacks, corn-based, extruded, chips, plain","Snacks, auf Maisbasis, extrudiert, Chips, natur"
