fdc_id,measure_unit_id,amount,gram_weight
167512,9999,1.0,34.0
167513,9999,1.0,44.0
167514,9999,1.0,28.0
167515,9999,1.0,57.0
167516,9999,1.0,39.0
167516,9999,1.0,38.0
167517,9999,1.0,28.0
167517,9999,1.0,33.0
167518,9999,1.0,35.0
167519,9999,1.0,32.0
167520,9999,1.0,28.35
167520,9999,1.0,183.0
167521,9999,1.0,182.0
167522,9999,0.12,131.0
167522,9999,1.0,137.0
167522,9999,1.0,1137.0
167522,9999,1.0,28.35
167523,9999,1.0,225.0
167524,9999,2.0,70.0
167525,9999,1.0,12.3
167525,9999,3.0,37.0
167526,9999,1.0,55.0
167526,9999,1.0,399.0
167527,9999,1.0,55.0
167527,9999,1.0,622.0
167528,9999,1.0,86.0
167529,9999,1.0,30.0
167529,9999,1.0,12.7
167530,9999,11.0,31.0
167530,9999,1.0,3.1
167531,9999,10.0,32.0
167531,9999,1.0,3.1
167532,9999,1.0,28.0
167533,9999,1.0,98.0
167534,9999,4.0,113.0
167535,9999,1.0,49.0
167535,9999,1.0,484.0
167536,9999,1.0,28.35
167536,9999,1.0,20.0
167536,9999,1.0,28.35
167537,9999,1.0,28.0
167537,9999,1.0,28.35
167537,9999,1.0,198.0
167538,9999,1.0,28.35
167538,9999,1.0,198.0
167539,9999,1.0,28.35
167540,9999,1.0,28.35
167540,9999,1.0,27.0
167540,9999,1.0,21.0
167541,9999,1.0,21.0
167541,9999,1.0,14.0
167542,9999,1.0,21.0
167542,9999,1.0,28.0
167542,9999,1.0,25.0
167543,9999,1.0,28.35
167543,9999,1.0,24.0
167544,9999,1.0,43.0
167544,9999,1.0,28.0
167545,9999,1.0,35.0
167545,9999,1.0,28.0
167546,9999,1.0,40.0
167547,9999,1.0,28.35
167547,9999,1.0,37.0
167548,9999,1.0,28.0
167549,9999,1.0,11.0
167549,9999,1.0,28.35
167550,9999,1.0,10.0
167550,9999,2.0,20.0
167551,9999,1.0,28.35
167551,9999,2.0,57.0
167552,9999,1.0,28.35
167553,9999,1.0,28.35
167553,9999,1.0,170.0
167554,9999,1.0,28.35
167554,9999,1.0,198.0
167555,9999,1.0,28.35
167555,9999,10.0,60.0
167556,9999,1.0,28.35
167556,9999,1.0,11.0
167557,9999,1.0,9.0
167557,9999,2.0,18.0
167558,9999,1.0,28.35
167558,9999,1.0,213.0
167559,9999,1.0,28.35
167560,9999,1.0,28.35
167560,9999,1.0,198.0
167561,9999,1.0,150.0
167561,9999,1.0,28.35
167561,9999,1.5,42.0
167562,9999,1.0,49.0
167562,9999,1.0,19.0
167563,9999,18.0,40.0
167564,9999,1.0,40.0
167565,9999,1.0,60.0
167565,9999,1.0,18.0
167565,9999,1.0,21.0
167565,9999,1.0,7.0
167565,9999,1.0,108.0
167565,9999,10.0,26.0
167565,9999,2.0,25.0
167565,9999,1.0,174.0
167566,9999,1.0,6.6
167566,9999,1.0,64.0
167566,9999,1.0,40.0
167567,9999,1.0,28.35
167568,9999,1.0,29.0
167568,9999,1.0,132.0
167568,9999,0.5,14.2
167569,9999,1.0,170.0
167570,9999,1.0,168.0
167570,9999,1.0,28.35
167571,9999,1.0,85.0
167571,9999,1.0,14.0
167571,9999,1.0,170.0
167572,9999,1.0,76.0
167573,9999,0.5,107.0
167574,9999,0.5,153.0
167574,9999,1.0,1531.0
167575,9999,1.0,66.0
167576,9999,1.0,88.0
167577,9999,0.5,74.0
167577,9999,1.0,66.0
167578,9999,1.0,16.0
167579,9999,1.0,28.35
167580,9999,1.0,28.35
167581,9999,1.0,39.0
167581,9999,1.0,41.0
167581,9999,1.0,48.0
167582,9999,1.0,60.0
167582,9999,1.0,18.0
167583,9999,4.0,45.0
167584,9999,1.0,73.0
167585,9999,1.0,68.0
167585,9999,1.0,100.0
167586,9999,1.0,40.0
167587,9999,1.0,7.0
167587,9999,1.0,44.0
167587,9999,1.0,168.0
167588,9999,0.5,147.0
167589,9999,0.5,142.0
167590,9999,1.0,69.0
167591,9999,3.0,3.9
167592,9999,3.0,44.0
167593,9999,3.0,45.0
167594,9999,10.0,5.2
167595,9999,10.0,5.3
167596,9999,10.0,5.1
167597,9999,1.0,34.0
167598,9999,1.0,28.0
167599,9999,1.0,25.0
167600,9999,1.0,44.0
167601,9999,1.0,48.0
167601,9999,1.0,352.0
167602,9999,0.25,5.0
167603,9999,0.25,25.0
167604,9999,1.0,159.0
167605,9999,1.0,130.0
167606,9999,12.0,51.0
167632,9999,1.0,28.35
167633,9999,1.0,28.35
167634,9999,1.0,28.35
167635,9999,1.0,152.0
167636,9999,1.0,186.0
167653,9999,1.0,28.35
167657,9999,1.0,324.0
167658,9999,1.0,281.0
167658,9999,1.0,134.0
167658,9999,2.0,279.0
167658,9999,3.0,389.0
167659,9999,1.0,141.0
